"CE_Method","Used_Model","Quality_Metric","Mean_Values","StdDev_Values"
"MOC","Decision tree","Plausibility",0.00649692303386707,0.00795037135270831
"MOC","Decision tree","Proximity",0.0282284776137553,0.0276239648399247
"MOC","Decision tree","Sparsity",1.17101018893042,0.417538318312551
"MOC","Decision tree","Validity",0.221161230863754,0.248337437803989
"MOC","Extra trees","Plausibility",0.00944952821531392,0.010190120220835
"MOC","Extra trees","Proximity",0.0260133809655009,0.0496601585657141
"MOC","Extra trees","Sparsity",1.41819345547644,0.633511156195543
"MOC","Extra trees","Validity",0.111002094612014,0.118858807120131
"MOC","Random forest","Plausibility",0.00625512733461495,0.00460690640767662
"MOC","Random forest","Proximity",0.0291821583469993,0.0567263089807396
"MOC","Random forest","Sparsity",1.39777190029655,0.622134860084027
"MOC","Random forest","Validity",0.0619766349766108,0.0939895301773535
"NICE","Decision tree","Plausibility",0.005868077400484,0.00352848033672668
"NICE","Decision tree","Proximity",0.0217126307697589,0.0186385546845332
"NICE","Decision tree","Sparsity",1.00440852314475,0.0662745451818973
"NICE","Decision tree","Validity",0,0
"NICE","Extra trees","Plausibility",0.00998528090312681,0.00563401753659716
"NICE","Extra trees","Proximity",0.0129550033470754,0.0154149640743948
"NICE","Extra trees","Sparsity",1.40553435114504,0.519452530570726
"NICE","Extra trees","Validity",0,0
"NICE","Random forest","Plausibility",0.00830448188706821,0.0035873985887333
"NICE","Random forest","Proximity",0.0023639337040676,0.00413857734180343
"NICE","Random forest","Sparsity",1.0506329113924,0.248824876392931
"NICE","Random forest","Validity",0,0
"WhatIf","Decision tree","Plausibility",0,0
"WhatIf","Decision tree","Proximity",0.0372515537636798,0.0216175668543897
"WhatIf","Decision tree","Sparsity",4.99933872152829,0.0257077758980234
"WhatIf","Decision tree","Validity",0,0
"WhatIf","Extra trees","Plausibility",0,0
"WhatIf","Extra trees","Proximity",0.194821501914003,0.0183489173015865
"WhatIf","Extra trees","Sparsity",5.99556390977444,0.0664585842088695
"WhatIf","Extra trees","Validity",0,0
"WhatIf","Random forest","Plausibility",0,0
"WhatIf","Random forest","Proximity",0.190493459007771,0.0150270634580491
"WhatIf","Random forest","Sparsity",5.99344790547798,0.0806837270636699
"WhatIf","Random forest","Validity",0,0
