"CE_Method","Used_Model","Quality_Metric","Mean_Values","StdDev_Values"
"MOC","Decision tree","Plausibility",0.0101558094739535,0.0086308802691621
"MOC","Decision tree","Proximity",0.0187943619376559,0.029727216527587
"MOC","Decision tree","Sparsity",1.34263959390863,0.623030375135424
"MOC","Decision tree","Validity",0.408629441624366,0.193349791969323
"MOC","Extra trees","Plausibility",0.00915860274515867,0.00973611658466191
"MOC","Extra trees","Proximity",0.0264479629306645,0.0497527342948588
"MOC","Extra trees","Sparsity",1.42393818821135,0.644242978957221
"MOC","Extra trees","Validity",0.108180475470779,0.11980811906972
"MOC","Random forest","Plausibility",0.00540170567222332,0.00302616048202554
"MOC","Random forest","Proximity",0.0248747745099873,0.0514040064274732
"MOC","Random forest","Sparsity",1.37114643545279,0.607720215251905
"MOC","Random forest","Validity",0.046675152345781,0.0882064339679169
"NICE","Decision tree","Plausibility",0.0114765159843676,0.00919678216241066
"NICE","Decision tree","Proximity",0.000581136397278736,0.000574783603042937
"NICE","Decision tree","Sparsity",1,0
"NICE","Decision tree","Validity",0,0
"NICE","Extra trees","Plausibility",0.00954859097074177,0.00521755328594414
"NICE","Extra trees","Proximity",0.00835351199818816,0.0107782671400847
"NICE","Extra trees","Sparsity",1.39275362318841,0.597113770304464
"NICE","Extra trees","Validity",0,0
"NICE","Random forest","Plausibility",0.00732398529885416,0.00268327739538372
"NICE","Random forest","Proximity",0.00191263847181978,0.00250890487503932
"NICE","Random forest","Sparsity",1.01910112359551,0.144938142419774
"NICE","Random forest","Validity",0,0
"WhatIf","Decision tree","Plausibility",0,0
"WhatIf","Decision tree","Proximity",0.0299701789272362,0.0185960819776393
"WhatIf","Decision tree","Sparsity",4.96338028169014,0.187958700126852
"WhatIf","Decision tree","Validity",0,0
"WhatIf","Extra trees","Plausibility",0,0
"WhatIf","Extra trees","Proximity",0.19458689775431,0.0177219062610833
"WhatIf","Extra trees","Sparsity",5.99464720194647,0.0729697022450701
"WhatIf","Extra trees","Validity",0,0
"WhatIf","Random forest","Plausibility",0,0
"WhatIf","Random forest","Proximity",0.188179327672873,0.0137926382494554
"WhatIf","Random forest","Sparsity",5.99436201780415,0.0748856421875474
"WhatIf","Random forest","Validity",0,0
