"CE_Method","Used_Model","Quality_Metric","Mean_Values","StdDev_Values"
"MOC","Extratrees","Plausibility",0.00944952821531392,0.010190120220835
"MOC","Extratrees","Proximity",0.0260133809655009,0.0496601585657141
"MOC","Extratrees","Sparsity",1.41819345547644,0.633511156195543
"MOC","Extratrees","Validity",0.111002094612014,0.118858807120131
"MOC","Randomforest","Plausibility",0.00625512733461495,0.00460690640767662
"MOC","Randomforest","Proximity",0.0291821583469993,0.0567263089807396
"MOC","Randomforest","Sparsity",1.39777190029655,0.622134860084027
"MOC","Randomforest","Validity",0.0619766349766108,0.0939895301773535
"NICE","Extratrees","Plausibility",0.00998528090312681,0.00563401753659716
"NICE","Extratrees","Proximity",0.0129550033470754,0.0154149640743948
"NICE","Extratrees","Sparsity",1.40553435114504,0.519452530570726
"NICE","Extratrees","Validity",0,0
"NICE","Randomforest","Plausibility",0.00830448188706821,0.0035873985887333
"NICE","Randomforest","Proximity",0.0023639337040676,0.00413857734180343
"NICE","Randomforest","Sparsity",1.0506329113924,0.248824876392931
"NICE","Randomforest","Validity",0,0
"WhatIf","Extratrees","Plausibility",0,0
"WhatIf","Extratrees","Proximity",0.194821501914003,0.0183489173015865
"WhatIf","Extratrees","Sparsity",5.99556390977444,0.0664585842088695
"WhatIf","Extratrees","Validity",0,0
"WhatIf","Randomforest","Plausibility",0,0
"WhatIf","Randomforest","Proximity",0.190493459007771,0.0150270634580491
"WhatIf","Randomforest","Sparsity",5.99344790547798,0.0806837270636699
"WhatIf","Randomforest","Validity",0,0
